NeoReferenceID,Name,AbsoluteMagnitude,EstDiainMiles(min),EstDiainMiles(max),CloseApproachDate,EpochDateCloseApproach,RelativeVelocitykmperhr,Milesperhour,MissDist.(miles),OrbitID,OrbitDeterminationDate,OrbitUncertainity,MinimumOrbitIntersection,JupiterTisserandInvariant,EpochOsculation,Eccentricity,SemiMajorAxis,Inclination,AscNodeLongitude,OrbitalPeriod,PerihelionDistance,PerihelionArg,AphelionDist,PerihelionTime,MeanAnomaly,MeanMotion,Hazardous
3703080,3703080,21.6,0.0790507,0.176763,1995-01-01,788947200000,22017.0,13680.5,38993300.0,17,2017-04-06 08:36:37,5,0.0252819,4.634,2458000.0,0.425549,1.40701,6.02598,314.374,609.6,0.808259,57.2575,2.00576,2458160.0,264.838,0.590551,1
3723955,3723955,21.3,0.0907624,0.202951,1995-01-01,788947200000,65210.3,40519.2,35603400.0,21,2017-04-06 08:32:49,3,0.186935,5.457,2458000.0,0.351674,1.10778,28.413,136.717,425.869,0.7182,313.092,1.49735,2457800.0,173.741,0.84533,0
2446862,2446862,20.3,0.143849,0.321655,1995-01-08,789552000000,27326.6,16979.7,4736660.0,22,2017-04-06 09:20:19,0,0.0430579,4.557,2458000.0,0.348248,1.45882,4.23796,259.476,643.58,0.950791,248.415,1.96686,2458120.0,292.894,0.559371,1
3092506,3092506,27.4,0.00546898,0.012229,1995-01-15,790156800000,40225.9,24994.8,26522400.0,7,2017-04-06 09:15:49,6,0.0055118,5.093,2458000.0,0.216578,1.2559,7.90589,57.1733,514.082,0.983902,18.7077,1.5279,2457900.0,68.741,0.700277,0
3514799,3514799,21.6,0.0790507,0.176763,1995-01-15,790156800000,35427.0,22013.0,37910400.0,25,2017-04-06 08:57:58,1,0.034798,5.154,2458000.0,0.210448,1.22561,16.7934,84.6293,495.598,0.967687,158.264,1.48354,2457810.0,135.142,0.726395,1
3671135,3671135,19.6,0.198566,0.444008,1995-01-15,790156800000,38911.8,24178.3,36511600.0,40,2017-06-04 06:16:52,1,0.272213,4.724,2458000.0,0.563441,1.32353,17.9278,178.972,556.161,0.5778,198.146,2.06926,2458010.0,354.237,0.647295,0
2495323,2495323,19.6,0.198566,0.444008,1995-01-15,790156800000,38911.8,24178.3,36511500.0,43,2017-06-28 06:19:25,1,0.272213,4.724,2458000.0,0.563441,1.32353,17.9277,178.972,556.161,0.5778,198.146,2.06926,2458010.0,354.237,0.647295,0
2153315,2153315,19.2,0.238729,0.533815,1995-01-22,790761600000,87918.8,54629.3,12008000.0,22,2017-04-06 09:27:05,0,0.0987582,4.921,2458000.0,0.449763,1.23747,34.6951,112.563,502.809,0.680905,288.375,1.79404,2458240.0,186.777,0.715978,0
2162463,2162463,17.8,0.45489,1.01716,1995-01-22,790761600000,62545.6,38863.4,33304500.0,100,2017-05-15 06:18:21,0,0.109354,5.386,2458000.0,0.238179,1.14555,22.2152,80.2111,447.837,0.872705,353.422,1.4184,2458220.0,182.236,0.803864,0
2306383,2306383,21.5,0.0827763,0.185093,1995-01-22,790761600000,46438.6,28855.1,14111200.0,30,2017-04-06 09:24:01,0,0.0169065,6.623,2458000.0,0.551389,0.876125,2.05958,2.61368,299.535,0.39304,253.766,1.35921,2457900.0,119.861,1.20186,1
3444370,3444370,22.4,0.0546898,0.12229,1995-01-22,790761600000,80716.9,50154.4,18687800.0,12,2017-04-06 09:01:38,6,0.000317965,7.033,2458000.0,0.475819,0.813877,23.1857,117.111,268.186,0.426618,220.94,1.20114,2458000.0,5.55681,1.34235,0
3448992,3448992,25.8,0.0114263,0.02555,1995-01-22,790761600000,62188.6,38641.6,40065400.0,23,2017-04-06 09:01:10,4,0.00186378,5.122,2458000.0,0.204841,1.24079,13.7442,161.934,504.83,0.986625,13.9202,1.49495,2457940.0,46.685,0.713111,0
3611400,3611400,25.0,0.016516,0.036931,1995-01-22,790761600000,43626.6,27107.9,33445600.0,5,2017-04-06 08:48:30,6,0.0187898,6.384,2458000.0,0.326861,0.930234,8.33375,20.4913,327.708,0.626177,128.463,1.23429,2457940.0,66.777,1.09854,0
2162854,2162854,19.1,0.24998,0.558973,1995-02-08,792230400000,38987.7,24225.5,40032000.0,42,2017-04-06 09:26:24,0,0.214004,4.862,2458000.0,0.149358,1.32292,21.2652,122.437,555.777,1.12533,297.73,1.52051,2457980.0,15.2319,0.647742,0
3446396,3446396,18.8,0.287016,0.641787,1995-02-08,792230400000,142579.0,88593.2,27976300.0,26,2017-04-06 09:01:21,0,0.102643,3.242,2458000.0,0.861093,1.98274,10.0226,163.21,1019.76,0.275416,199.371,3.69006,2457890.0,37.5173,0.353025,0
3764806,3764806,25.2,0.0150628,0.0336815,1995-02-08,792230400000,90760.6,56395.1,46103700.0,4,2017-04-06 08:21:56,6,0.0119773,6.89,2458000.0,0.441694,0.837557,19.7676,243.615,279.975,0.467613,41.6483,1.2075,2457930.0,96.6074,1.28583,0
3314405,3314405,20.0,0.16516,0.36931,1995-02-15,792835200000,11120.4,6909.79,22200100.0,27,2017-05-18 06:19:30,0,0.240288,3.788,2458000.0,0.377549,1.95815,5.66056,112.164,1000.85,1.21885,34.3069,2.69745,2457770.0,82.3508,0.359694,0
3426410,3426410,21.0,0.104209,0.233019,1995-02-15,792835200000,72069.3,44781.0,44441000.0,16,2017-04-06 09:03:02,1,0.0984179,6.469,2458000.0,0.452792,0.907865,8.2787,114.38,315.958,0.49679,7.39233,1.31894,2457970.0,36.1676,1.13939,0
3666785,3666785,22.3,0.0572672,0.128053,1995-02-15,792835200000,30694.8,19072.5,42876700.0,29,2017-04-06 08:41:50,3,0.0259126,5.372,2458000.0,0.259732,1.16652,5.03504,28.852,460.189,0.863537,271.615,1.4695,2457770.0,179.603,0.782287,0
